2xthinclientserver                       2X Software                                             geoffrey@2x.com
openstack-nova-volume                    SUSE                                                    saschpe@suse.de
openstack-novncproxy                     SUSE                                                    saschpe@suse.de
openstack-quantum                        SUSE                                                    saschpe@suse.de
openstack-swift-account                  SUSE                                                    saschpe@suse.de
openstack-swift-account-auditor          SUSE                                                    saschpe@suse.de
openstack-swift-account-reaper           SUSE                                                    saschpe@suse.de
openstack-swift-account-replicator       SUSE                                                    saschpe@suse.de
openstack-swift-container                SUSE                                                    saschpe@suse.de
openstack-swift-container-auditor        SUSE                                                    saschpe@suse.de
openstack-swift-container-replicator     SUSE                                                    saschpe@suse.de
openstack-swift-container-sync           SUSE                                                    saschpe@suse.de
openstack-swift-container-updater        SUSE                                                    saschpe@suse.de
openstack-swift-object                   SUSE                                                    saschpe@suse.de
openstack-swift-object-auditor           SUSE                                                    saschpe@suse.de
openstack-swift-object-expirer           SUSE                                                    saschpe@suse.de
openstack-swift-object-replicator        SUSE                                                    saschpe@suse.de
openstack-swift-object-updater           SUSE                                                    saschpe@suse.de
openstack-swift-proxy                    SUSE                                                    saschpe@suse.de
oss-preserve                             Reserved for LSB-Compliant Distributions                lsb@lanana.org
otrs                                     OTRS GmbH                                               info@otrs.org
ovpa                                     HP OpenView Performance Agent                           dwight.young@hp.com
panthera                                 Panthera Systems                                        daniel.baumann@panthera-systems.net
partimaged                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
pcmcia                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
pcscd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
pdns                                     PowerDNS                                                nadvornik@suse.cz
pdnsd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
peerfs                                   PeerFS Replicating Filesystem                           morreale@radiantdata.com
perdition                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
pipsecd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
pkspxy                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
plex86                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
plptools                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
pmxs                                     PolyServe Inc.                                          lsb@polyserve.com
popa3d                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
pop-before-smtp                          Reserved for LSB-Compliant Distributions                lsb@lanana.org
portmap                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
portsentry                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
postfix                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
postgresql                               PostgreSQL ORDBMS                                       JanWieck@Yahoo.com
postgrey                                 Postfix greylisting filter                              lanana@martinconsulting.com
powerfail                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
powersaved                               powersave daemon                                        trenn@suse.de
powertweakd                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
powstatd                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
ppp                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
pptpd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
prime-net                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
procps.sh                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
proftpd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
puppet                                   Puppet                                                  garrett@puppetlabs.com
puppetmaster                             Puppet                                                  garrett@puppetlabs.com
pure-ftpd                                SUSE LINUX Products GmbH                                hvogel@suse.de
pvss                                     PVSS by ETM Aktiengesellschaft                          koller@etm.at
pwcheck                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
qmail                                    Qmail MTA                                               bench@guamcell.net
qpage                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
qsnet                                    qsnet for Quadrics Ltd.                                 daniel.blueman@quadrics.com
queue                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
quota                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
quotarpc                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
radioclk                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
radiusd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
radiusd-livingston                       Reserved for LSB-Compliant Distributions                lsb@lanana.org
radvd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
raid                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
raid2                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
random                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
raptoricad                               Cardiff University                                      smith@cardiff.ac.uk
raptormuad                               Cardiff University                                      smith@cardiff.ac.uk
raptorwebd                               Cardiff University                                      smith@cardiff.ac.uk
rarpd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
rawio                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
rbootd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
rc                                       Reserved for LSB-Compliant Distributions                lsb@lanana.org
rcS                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
README                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
reboot                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
resmgr                                   SUSE LINUX Products GmbH                                ludwig.nussel@suse.de
rgpsp                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
rinetd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
ricis                                    RICIS, Inc.                                             lsb@ricis.com
rlagent                                  Beginfinite, Inc.                                       mjb@gwava.com
rlcenter                                 Beginfinite, Inc.                                       mjb@gwava.com
rlinetd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
rmnologin                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
rms                                      rms for Quadrics Ltd.                                   daniel.blueman@quadrics.com
rob                                      Rob Linux, LEICON di Serenella Saccon                   roberto.taglioretti@leicon.it
routed                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
roxen                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
roxen2                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
rpasswdd                                 pwdutils package                                        kukuk@suse.de
rpcbind                                  kukuk's port of TI-RPC for Linux                        kukuk@suse.de
rplay                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
rproxy                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
rrlogind                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
rspfd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
rstatd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
rusersd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
rwhod                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
samba                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
saslauthd                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
sauce                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
scandetd                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
scanlogd                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
scobrand                                 Caldera Systems Inc. dba The SCO Group                  linuxtech@sco.com
scsitools-pre.sh                         Reserved for LSB-Compliant Distributions                lsb@lanana.org
scsitools.sh                             Reserved for LSB-Compliant Distributions                lsb@lanana.org
securetransport                          Tumbleweed Communications Corp.                         mattl@tumbleweed.com
secvpn                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
sendmail                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
sendpage                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
sendsigs                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
sensord                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
ser2net                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
serpento                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
set6x86                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
setmixer                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
setserial                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
sfs-client                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
sfs-server                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
shaper                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
shaperd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
shibd                                    Shibboleth Project                                      contact@shibboleth.net
shorewall                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
single                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
skeleton                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
skinsight                                Objective Pathology Systems                             kemp@extelligence.net
skkserv                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
slapd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
slashem                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
sleepd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
slpd                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
smad                                     SyAM Software, Inc.                                     michael.daniele@syamsoftware.com
smagent                                  Engenio Information Technologies, Inc                   danny.pevoto@engenio.com
smail                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
smartd                                   smartmontools                                           sbrabec@suse.cz
smartsuite                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
smb                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
smcd                                     SyAM Software, Inc.                                     michael.daniele@syamsoftware.com
smmonitor                                Engenio Information Technologies, Inc                   danny.pevoto@engenio.com
smokeping                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
smtpd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
smtpfeed                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
smwd                                     SyAM Software, Inc.                                     michael.daniele@syamsoftware.com
sn                                       Reserved for LSB-Compliant Distributions                lsb@lanana.org
snmpd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
snmptrapfmt                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
snort                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
sofistikpsd                              SOFiSTiK AG                                             harald.nikolisin@sofistik.de
solserver                                Symas Corporation                                       mhardin@symas.com
spamassassin                             Reserved for LSB-Compliant Distributions                lsb@lanana.org
spong-client                             Reserved for LSB-Compliant Distributions                lsb@lanana.org
spong-server                             Reserved for LSB-Compliant Distributions                lsb@lanana.org
squid                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
squidtaild                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
ssh                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
ssh2                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
sshd                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
ssh-krb5                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
ssh-nonfree                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
sslwrap                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
ssvl                                     SCO System V Libraries for Linux                        linuxtech@sco.com
strs                                     StreamServe Ltd.                                        kaj.nylen@streamserve.com
subdomain                                SubDomain by Immunix                                    dominic@immunix.com
sudo                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
sudoscript                               EGBOK Consultants                                       hbo@egbok.com 
susefirewall2_final                      SUSE LINUX Products GmbH                                ludwig.nussel@suse.de
susefirewall2_init                       SUSE LINUX Products GmbH                                ludwig.nussel@suse.de
susefirewall2_setup                      SUSE LINUX Products GmbH                                ludwig.nussel@suse.de
svgatextmode                             Reserved for LSB-Compliant Distributions                lsb@lanana.org
swapd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
sympa                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
sysklogd                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
syslog                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
syslog-ng                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
sysstat                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
systemimager                             Reserved for LSB-Compliant Distributions                lsb@lanana.org
systune                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
tac-plus                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
tama                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
tcpquota                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
tcpspy                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
teamware                                 Teamware Mobile, Teamware Group                         ken.barnes@teamware.co.uk
teapop                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
teapop-mysql                             Reserved for LSB-Compliant Distributions                lsb@lanana.org
teapop-pgsql                             Reserved for LSB-Compliant Distributions                lsb@lanana.org
thttpd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
timeoutd                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
tinc                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
tinyproxy                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
tleds                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
tomcat                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
tomcat4                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
tpconfig                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
tpssmagent                               Engenio Information Technologies, Inc                   danny.pevoto@engenio.com
tpssmmonitor                             Engenio Information Technologies, Inc                   danny.pevoto@engenio.com
tvpvrd                                   Johan Persson                                           johan162@gmail.com
trafstats                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
transproxy                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
trustees                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
ud                                       Reserved for LSB-Compliant Distributions                lsb@lanana.org
udhcpd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
ugidd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
ulogd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
umountfs                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
umountnfs.sh                             Reserved for LSB-Compliant Distributions                lsb@lanana.org
umsdos                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
upsd                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
ups-monitor                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
uptimed                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
uptimed.sh                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
urandom                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
usbmgr                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
usermin                                  Caldera Systems Inc. dba The SCO Group                  jcameron@webmin.com
userv                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
vchkpw                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
vdr                                      SUSE LINUX Products GmbH                                ludwig.nussel@suse.de
vje-delta                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
vmlcos                                   VM-Labs, LLC                                            paul.perkins@vm-labs.com
vmlvsa                                   VM-Labs, LLC                                            paul.perkins@vm-labs.com
vmlvsm                                   VM-Labs, LLC                                            paul.perkins@vm-labs.com
vmlvtl                                   VM-Labs, LLC                                            paul.perkins@vm-labs.com
voicerd                                  VoiceRD                                                 cthorner@novacoast.com
vold                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
vpnd                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
vsftpd                                   vsftpd for SUSE Linux / Novell                          mmj@suse.de
vtun                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
vvrts                                    Info-Electronics Systems Inc.                           bernard@info-electronics.com
vvrtspg                                  Info-Electronics Systems Inc.                           bernard@info-electronics.com
wanpipe                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
wasp                                     Beginfinite, Inc                                        mjb@gwava.com
watchdog                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
wavelink                                 Avalanche Mobility Center Applications                  mvongunten@wavelink.com
wdm                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
webfs                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
webmin                                   Caldera Systems Inc. dba The SCO Group                  jcameron@webmin.com
welcome2l                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
whereami                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
winbind                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
wn                                       Reserved for LSB-Compliant Distributions                lsb@lanana.org
wondershaper                             SuSE LinuxProducts GmbH                                 hvogel@suse.de
wsf_httpd                                WSO2 Inc.                                               sanjayak@wso2.com
wsf_tcpd                                 WSO2 Inc.                                               sanjayak@wso2.com
wtrex                                    Lymeware Corporation                                    cfox@lymeware.com
wu-ftpd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
wwsympa                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
wwwoffle                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
X                                        Reserved for LSB-Compliant Distributions                lsb@lanana.org
xdasd                                    OpenXDAS                                                jcalcote@novell.com
xdm                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
xess                                     Applied Information Systems, Inc.                       jim@ais.com
xfs                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
xfstt                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
xfs-xtt                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
xinetd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
xnptd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
xpilots                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
xringd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
xshipwars-server                         Reserved for LSB-Compliant Distributions                lsb@lanana.org
xstrade                                  Applied Information Systems, Inc.                       jim@ais.com
xtell                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
xtend                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
xttpd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
yardradius                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
yiff-server                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
youbin                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
ypbind                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
yppasswdd                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
ypserv                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
ypxfrd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
zebra                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
zenoss                                   Zenoss Inc.                                             dev@zenoss.com
zephyrd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
zhm                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
zmailer                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
zmailer-ssl                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
zoneserver                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
zope                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
